Double Transactions
MALIKA : $36.91; 27/12/2016 03:56:02; $36.91; 27/12/2016 03:56:05
THRESA : $4.15; 27/12/2016 12:07:21; $4.15; 27/12/2016 12:09:00
TERRIE : $42.1; 27/12/2016 16:51:21; $42.1; 27/12/2016 16:53:38
HARMONY : $114.63; 27/12/2016 07:12:25; $114.63; 27/12/2016 07:15:27
CAMILLE : $22.59; 27/12/2016 09:50:51; $22.59; 27/12/2016 09:46:45
GABRIELLA : $1013.26; 27/12/2016 11:40:22; $1013.26; 27/12/2016 11:44:44
JULIANN : $1032.61; 27/12/2016 16:52:37; $1032.61; 27/12/2016 16:57:05
CATHARINE : $898.84; 27/12/2016 21:32:06; $898.84; 27/12/2016 21:33:03
LAKISHA : $24.14; 27/12/2016 14:20:45; $24.14; 27/12/2016 14:16:42
TAMARA : $489.1; 01/01/2017 03:16:17; $489.1; 01/01/2017 03:19:22

Suspicious Transactions
LASHUNDA : $74.2; 27/12/2016 19:42:33
KIRBY : $435.53; 27/12/2016 02:00:55

AARON : 711.71 700.28 694.43 686.78 666.07 # of transactions = 56; avg = 374.57
ABBEY : 82.68 82.67 82.20 78.26 77.89 # of transactions = 79; avg = 43.38
ABBIE : 523.17 522.95 513.11 512.29 507.09 # of transactions = 100; avg = 274.97
ABBY : 656.91 656.24 647.08 622.28 614.58 # of transactions = 69; avg = 342.61
ABIGAIL : 142.95 138.72 127.77 124.64 117.00 # of transactions = 42; avg = 70.31
ADA : 67.92 67.11 66.02 64.21 64.05 # of transactions = 31; avg = 38.10
ADAH : 5404.01 5390.93 5100.84 5044.92 4908.02 # of transactions = 69; avg = 2533.15
ADALINE : 588.23 562.20 560.65 535.58 512.37 # of transactions = 50; avg = 278.97
ADAM : 69.79 68.60 68.04 67.22 66.77 # of transactions = 100; avg = 34.94
ADDIE : 1486.63 1467.04 1455.08 1434.44 1426.83 # of transactions = 67; avg = 837.17
ADELA : 115.99 104.76 100.73 95.45 91.48 # of transactions = 22; avg = 56.86
ADELAIDA : 118.15 100.25 92.03 85.22 84.87 # of transactions = 22; avg = 59.12
ADELAIDE : 100.45 99.07 97.12 96.81 94.81 # of transactions = 79; avg = 48.75
ADELE : 67.60 65.96 64.92 63.60 63.27 # of transactions = 53; avg = 37.34
ADELIA : 1265.19 1250.13 1241.21 1234.40 1224.93 # of transactions = 100; avg = 672.69
ADELINA : 1135.44 1072.00 1000.77 957.78 930.63 # of transactions = 28; avg = 532.69
ADELINE : 967.02 960.46 953.65 947.99 924.77 # of transactions = 79; avg = 481.43
ADELL : 7834.00 7794.41 7560.22 7392.89 5542.05 # of transactions = 18; avg = 4093.85
ADELLA : 88.80 86.53 86.01 85.49 84.43 # of transactions = 48; avg = 49.49
ADELLE : 880.96 878.10 877.68 860.31 857.53 # of transactions = 75; avg = 495.10
ADENA : 89.77 89.67 88.30 87.49 87.26 # of transactions = 68; avg = 46.79
ADINA : 707.05 685.69 632.04 549.73 516.97 # of transactions = 18; avg = 392.92
ADRIA : 92.61 90.29 86.69 86.42 85.24 # of transactions = 50; avg = 49.44
ADRIAN : 1330.78 1291.99 1200.59 1198.51 1195.89 # of transactions = 27; avg = 765.40
ADRIANA : 105.08 98.47 94.19 91.63 90.76 # of transactions = 29; avg = 53.51
ADRIANE : 7178.28 7087.97 6950.58 6872.13 6663.34 # of transactions = 76; avg = 3272.78
ADRIANNA : 1405.29 1400.34 1399.70 1398.07 1353.83 # of transactions = 50; avg = 820.67
ADRIANNE : 84.57 83.40 80.66 78.79 77.47 # of transactions = 76; avg = 37.48
ADRIEN : 1117.43 1095.17 1019.16 1014.46 1009.41 # of transactions = 45; avg = 604.70
ADRIENE : 64.74 64.20 57.94 57.21 56.60 # of transactions = 50; avg = 30.20
ADRIENNE : 1102.29 1066.28 1004.64 967.54 913.77 # of transactions = 47; avg = 533.04
AFTON : 146.57 146.21 145.83 135.81 128.70 # of transactions = 35; avg = 79.49
AGATHA : 139.84 139.35 139.09 135.95 132.23 # of transactions = 51; avg = 64.06
AGNES : 964.87 955.24 952.39 926.14 891.94 # of transactions = 37; avg = 484.26
AGNUS : 104.96 104.62 103.57 102.00 101.38 # of transactions = 82; avg = 49.09
AGRIPINA : 1004.01 1001.85 978.69 953.24 941.42 # of transactions = 79; avg = 492.33
